filename,true_album_id,top1_album_id,top1_inliers,correct
IMG_6076.JPEG,38eb9763c015bcfb,052100903cbff559,60,False
IMG_6210.JPEG,42a38700ebb1123f,42a38700ebb1123f,165,True
IMG_6211.JPEG,42a38700ebb1123f,84bfad492dd8fbf8,38,False
IMG_6212.JPEG,42a38700ebb1123f,4da7fcd904633f28,41,False
IMG_6243.JPEG,1fde177cf6d4f606,1fde177cf6d4f606,222,True
IMG_6244.JPEG,1fde177cf6d4f606,1fde177cf6d4f606,101,True
IMG_6245.JPEG,1fde177cf6d4f606,2b7e0e8b606b84b5,53,False
IMG_6207.JPEG,e4c63b70d1693203,e4c63b70d1693203,248,True
IMG_6208.JPEG,e4c63b70d1693203,9eabfbaafaceba40,34,False
IMG_6209.JPEG,e4c63b70d1693203,c3ce763bd60c7330,57,False
IMG_6213.JPEG,0b79a5d943441099,0b79a5d943441099,65,True
IMG_6214.JPEG,0b79a5d943441099,1a5f2cbb61d96e9a,33,False
IMG_6215.JPEG,0b79a5d943441099,817b4436eda0798e,33,False
