filename,true_album_id,top1_album_id,top1_matches,correct
IMG_6074.JPEG,7fa44a330d484789,7fa44a330d484789,581,True
IMG_6075.JPEG,3ce3ba3b595dc371,f60203003bdb7860,62,False
IMG_6076.JPEG,38eb9763c015bcfb,a0f48176b660b12e,60,False
IMG_6080.JPEG,7fa44a330d484789,7fa44a330d484789,544,True
IMG_6210.JPEG,42a38700ebb1123f,42a38700ebb1123f,630,True
IMG_6211.JPEG,42a38700ebb1123f,d790b67948183c3d,49,False
IMG_6212.JPEG,42a38700ebb1123f,8f766f9d441ea069,40,False
IMG_6231.JPEG,6d1d0044f0540807,6d1d0044f0540807,670,True
IMG_6232.JPEG,6d1d0044f0540807,6d1d0044f0540807,636,True
IMG_6233.JPEG,6d1d0044f0540807,e3a60a001b7c9f2d,32,False
IMG_6234.JPEG,ef62bed089940ec8,82afce479b08e493,675,False
IMG_6235.JPEG,ef62bed089940ec8,82afce479b08e493,47,False
IMG_6236.JPEG,ef62bed089940ec8,82afce479b08e493,115,False
IMG_6237.JPEG,31febfbcc2e7e480,31febfbcc2e7e480,1065,True
IMG_6238.JPEG,31febfbcc2e7e480,31febfbcc2e7e480,49,True
IMG_6239.JPEG,31febfbcc2e7e480,c0deaa2d8ab04f05,45,False
IMG_6240.JPEG,c727dabc507243a5,c727dabc507243a5,1017,True
IMG_6241.JPEG,c727dabc507243a5,741139ef047fadc2,36,False
IMG_6242.JPEG,c727dabc507243a5,c727dabc507243a5,48,True
IMG_6204.JPEG,02dc53204c2979b8,02dc53204c2979b8,1126,True
IMG_6205.JPEG,02dc53204c2979b8,02dc53204c2979b8,1158,True
IMG_6206.JPEG,02dc53204c2979b8,02dc53204c2979b8,53,True
IMG_6243.JPEG,1fde177cf6d4f606,1fde177cf6d4f606,1003,True
IMG_6244.JPEG,1fde177cf6d4f606,1fde177cf6d4f606,623,True
IMG_6245.JPEG,1fde177cf6d4f606,d2b8c34f18db51e3,38,False
IMG_6207.JPEG,e4c63b70d1693203,e4c63b70d1693203,572,True
IMG_6208.JPEG,e4c63b70d1693203,e4c63b70d1693203,470,True
IMG_6209.JPEG,e4c63b70d1693203,e4c63b70d1693203,54,True
IMG_6213.JPEG,0b79a5d943441099,0b79a5d943441099,236,True
IMG_6214.JPEG,0b79a5d943441099,0b79a5d943441099,193,True
IMG_6215.JPEG,0b79a5d943441099,9386b0df298833bf,26,False
IMG_6200.JPEG,0acef865b9ebf0ed,0acef865b9ebf0ed,261,True
IMG_6201.JPEG,0acef865b9ebf0ed,0acef865b9ebf0ed,254,True
IMG_6202.JPEG,0acef865b9ebf0ed,c2c1825a48a7330e,47,False
IMG_6203.JPEG,0acef865b9ebf0ed,004f09411a9ac7d4,37,False
IMG_6222.JPEG,6b2e9f8e62ba9a1c,6b2e9f8e62ba9a1c,1098,True
IMG_6223.JPEG,6b2e9f8e62ba9a1c,6b2e9f8e62ba9a1c,952,True
IMG_6224.JPEG,6b2e9f8e62ba9a1c,e33cc1dc33f7d8dc,41,False
IMG_6216.JPEG,4ebde3aca30158af,4ebde3aca30158af,443,True
IMG_6217.JPEG,4ebde3aca30158af,1fde177cf6d4f606,45,False
IMG_6218.JPEG,4ebde3aca30158af,8175f913092ed6d1,32,False
IMG_6219.JPEG,2bc8948f33f51a62,2bc8948f33f51a62,951,True
IMG_6220.JPEG,2bc8948f33f51a62,a00724d984e2f3f7,28,False
IMG_6221.JPEG,2bc8948f33f51a62,b3ce3cc2c73133d2,31,False
IMG_6225.JPEG,134f8e726a393b14,134f8e726a393b14,643,True
IMG_6226.JPEG,134f8e726a393b14,134f8e726a393b14,378,True
IMG_6227.JPEG,134f8e726a393b14,02dc53204c2979b8,34,False
IMG_6228.JPEG,88cd84607413c646,88cd84607413c646,279,True
IMG_6229.JPEG,88cd84607413c646,8285d78f970954c0,38,False
IMG_6230.JPEG,88cd84607413c646,88cd84607413c646,37,True
