query_idx,query_label,top1_label,top1_score,correct
0,580,707,0.66507,False
1,580,587,0.532185,False
2,254,254,0.931526,True
3,254,254,0.941788,True
4,254,254,0.935118,True
5,254,254,0.933782,True
6,254,254,0.938003,True
7,254,254,0.919802,True
8,254,254,0.899319,True
9,254,254,0.891665,True
10,254,254,0.878231,True
11,254,254,0.913192,True
12,619,141,0.489106,False
13,780,463,0.545799,False
14,780,780,0.938896,True
15,490,490,0.911012,True
16,490,151,0.65682,False
17,707,93,0.946882,False
18,707,405,0.559579,False
19,707,48,0.634912,False
20,707,707,0.719146,True
21,707,707,0.655419,True
22,707,580,0.584028,False
23,707,48,0.59036,False
24,707,8,0.581223,False
25,707,48,0.764046,False
26,707,48,0.605704,False
27,707,707,0.63436,True
28,217,217,0.787879,True
29,217,217,0.948985,True
30,217,217,0.95877,True
31,48,48,0.644101,True
32,48,227,0.458289,False
33,48,48,0.700952,True
34,48,48,0.842783,True
35,48,713,0.635533,False
36,48,438,0.504854,False
37,48,48,0.768226,True
38,48,419,0.543455,False
39,546,546,0.724786,True
40,669,669,0.960583,True
41,669,433,0.464173,False
42,669,669,0.920833,True
43,41,41,0.956538,True
44,93,670,0.469369,False
45,816,816,0.957332,True
46,816,816,0.893124,True
47,816,816,0.959384,True
48,816,816,0.943746,True
49,816,816,0.942279,True
50,605,605,0.89366,True
51,520,282,0.532644,False
52,520,707,0.679699,False
53,520,93,0.9371,False
54,520,621,0.596837,False
55,520,621,0.550642,False
56,453,453,0.521674,True
57,453,453,0.904521,True
58,453,453,0.845747,True
59,620,620,0.949026,True
60,620,620,0.966644,True
61,620,620,0.946897,True
62,216,216,1.000009,True
63,826,826,0.999992,True
64,49,49,0.968145,True
65,300,300,0.866151,True
66,300,300,0.951968,True
67,300,300,0.925317,True
68,301,301,0.942303,True
69,301,301,0.955889,True
70,148,148,0.981506,True
71,71,71,0.928315,True
72,71,71,0.939514,True
73,106,350,0.529035,False
74,106,106,0.942447,True
75,106,106,0.896683,True
76,106,106,0.919408,True
77,106,166,0.392823,False
78,106,744,0.497181,False
79,106,837,0.498057,False
80,106,106,0.59427,True
81,106,106,0.648511,True
82,106,837,0.501102,False
83,637,781,0.462928,False
84,367,853,0.470648,False
85,674,674,0.904136,True
86,674,674,0.926732,True
87,674,674,0.904136,True
88,674,674,0.941821,True
89,674,674,0.910197,True
90,674,674,0.792468,True
91,674,674,0.919438,True
92,155,155,0.944093,True
93,155,155,0.727337,True
94,91,91,0.911873,True
95,91,91,0.872126,True
96,91,91,0.91993,True
97,91,91,0.919721,True
98,91,91,0.92899,True
99,91,91,0.905049,True
100,37,37,0.906586,True
101,37,37,0.999986,True
102,37,37,0.934658,True
103,37,37,0.920328,True
104,344,344,0.549433,True
105,513,513,0.959879,True
106,513,513,0.966063,True
107,806,806,0.943143,True
108,806,806,0.965655,True
109,806,806,0.93729,True
110,806,806,0.964902,True
111,747,455,0.673514,False
112,17,625,0.686084,False
113,17,17,0.883995,True
114,17,147,0.654664,False
115,489,489,0.955553,True
116,489,489,0.921321,True
117,828,828,0.924478,True
118,828,828,0.957816,True
119,828,828,0.934366,True
120,584,584,0.881708,True
121,436,436,0.770391,True
122,436,436,0.708247,True
123,441,441,0.945157,True
124,441,47,0.518992,False
125,441,569,0.435093,False
126,441,66,0.485118,False
127,441,441,0.948278,True
128,441,827,0.513875,False
129,597,597,0.852279,True
130,597,597,0.88785,True
131,600,600,0.951238,True
132,193,193,0.99278,True
133,193,193,0.992199,True
134,193,193,0.992199,True
135,486,486,0.971055,True
136,486,486,0.988151,True
137,678,747,0.504171,False
138,134,817,0.563825,False
139,134,445,0.54327,False
140,134,134,0.921746,True
141,134,486,0.585578,False
142,147,147,0.921251,True
143,147,147,0.983409,True
144,784,784,0.975875,True
145,607,607,0.907173,True
146,607,607,0.904215,True
147,455,808,0.463274,False
148,6,6,0.941265,True
149,6,6,0.513115,True
150,6,6,0.967408,True
151,6,6,0.732858,True
152,6,6,0.938533,True
153,6,6,0.841354,True
154,6,6,0.850428,True
155,6,6,0.999928,True
156,6,6,0.997429,True
157,6,6,0.999887,True
158,6,6,0.984259,True
159,6,6,0.999818,True
160,6,6,0.99865,True
161,6,6,0.865655,True
162,6,6,0.999987,True
163,30,30,0.869477,True
164,339,339,0.629426,True
165,123,117,0.686901,False
166,123,223,0.57318,False
167,123,123,0.956413,True
168,123,223,0.605312,False
169,123,223,0.510069,False
170,645,645,0.910794,True
171,271,271,0.577009,True
172,271,271,0.601424,True
173,271,271,0.598034,True
174,271,271,0.602889,True
175,271,271,0.554495,True
176,271,271,0.601541,True
177,271,271,0.919558,True
178,462,462,0.897147,True
179,462,462,0.898537,True
180,462,462,0.948708,True
181,462,462,0.956236,True
182,462,462,0.964259,True
183,462,462,0.972194,True
184,462,462,0.899746,True
185,462,462,0.907308,True
186,462,462,0.916861,True
187,462,462,0.915688,True
188,462,462,0.919593,True
189,462,462,0.919664,True
190,250,250,0.907348,True
191,250,250,0.944059,True
192,250,250,0.925468,True
193,250,250,0.9342,True
194,82,82,0.938803,True
195,575,575,0.952379,True
196,174,174,0.805258,True
197,174,174,0.973049,True
198,174,174,0.987261,True
199,174,174,0.96473,True
200,174,174,0.914384,True
201,174,174,0.949314,True
202,174,174,0.97439,True
203,174,174,0.927649,True
204,174,174,0.983081,True
205,174,174,0.957273,True
206,174,174,0.934118,True
207,376,376,0.965588,True
208,376,376,0.966771,True
209,376,376,1.000002,True
210,376,376,1.000002,True
211,69,69,0.999994,True
212,60,60,0.766543,True
213,447,447,0.965209,True
214,447,447,0.965209,True
215,270,628,0.54524,False
216,270,117,0.917699,False
217,270,117,0.805265,False
218,117,117,0.98193,True
219,117,117,0.953296,True
220,212,212,0.984793,True
221,212,212,0.900599,True
222,212,212,0.900931,True
223,212,212,0.903605,True
224,212,212,0.962248,True
225,576,576,0.36368,True
226,576,576,0.783848,True
227,576,576,0.793048,True
228,576,576,0.808262,True
229,576,576,0.759824,True
230,576,576,0.765056,True
231,576,576,0.776978,True
232,576,576,0.793048,True
233,576,576,0.801822,True
234,576,576,0.822234,True
235,576,576,0.813494,True
236,576,576,0.764528,True
237,576,576,0.842163,True
238,576,576,0.762091,True
239,576,576,0.818692,True
240,576,576,0.916258,True
241,576,576,0.7677,True
242,576,576,0.772713,True
243,576,576,0.757163,True
244,576,576,0.775528,True
245,576,576,0.71653,True
246,576,576,0.793048,True
247,576,576,0.916258,True
248,576,576,0.771437,True
249,576,576,0.83037,True
250,576,576,0.687267,True
251,576,576,0.820577,True
252,576,576,0.813146,True
253,9,9,0.94618,True
254,9,9,0.944077,True
255,9,715,0.497826,False
256,9,9,0.93117,True
257,9,9,0.930126,True
258,9,465,0.526774,False
259,9,9,0.929317,True
260,9,9,0.952418,True
261,9,9,0.924459,True
262,9,9,0.935484,True
263,9,647,0.388162,False
264,9,9,0.96183,True
265,9,9,0.921131,True
266,9,9,0.910978,True
